time	signal1	signal2	signal3	subtracted1	subtracted2	subtracted3	normalized1	normalized2	normalized3
1.452	27.84686	0.22343	0.27314	26.71123	-0.63698	-0.8747	0.08134631472711103	0.010546791850811133	0.04364785746809583
1.463	26.81795	0.2563	0.31438	25.99256	-0.44648	-0.67678	0.07918976086579274	0.012475916323998125	0.05125932204432739
1.474	25.81339	0.29877	0.35413	25.28914	-0.24208000000000007	-0.46876	0.07707896854507737	0.014545801060583013	0.05925920513420051
1.485	24.81996	0.33705	0.39355	24.574669999999998	-0.038849999999999996	-0.26097	0.07493501786215465	0.016603837631112107	0.06725024305000062
1.496	23.82466	0.40556	0.4492	23.82422	0.18549999999999997	-0.03186	0.07268309995097663	0.01887574878890477	0.0760611901450916
1.507	22.80712	0.46445	0.50258	23.01351	0.39719	0.17709000000000003	0.07025035643738994	0.021019456713991146	0.08409683850404262
1.518	21.74475	0.51992	0.57035	22.11852	0.59313	0.40195000000000003	0.06756470914399902	0.023003670096018752	0.09274434216517555
1.529	20.62886	0.5863	0.62383	21.13625	0.78534	0.61314	0.06461715580052133	0.024950111119594984	0.1008661348281421
1.54	19.46339	0.65048	0.68096	20.07668	0.95744	0.80292	0.06143764395943012	0.02669290545993872	0.1081645571567457
1.551	18.25558	0.73712	0.74654	18.95158	1.15258	0.99882	0.05806149252780058	0.028669017531842703	0.11569833803024895
1.562	17.01677	0.78354	0.80983	17.77548	1.32057	1.18987	0.05453230250136782	0.030370191391426344	0.12304560110264708
1.573	15.75608	0.80383	0.86235	16.56323	1.4717	1.37458	0.05089463511803041	0.03190063014015469	0.13014904502885832
1.584	14.5017	0.83251	0.88482	15.34633	1.60974	1.50977	0.047243014215755066	0.033298511201985306	0.13534808451986857
1.595	13.28592	0.83553	0.88433	14.15615	1.70475	1.62847	0.04367157353412957	0.03426064304554172	0.13991296348712143
1.606	12.13248	0.80562	0.86032	13.02118	1.77046	1.71522	0.04026580463327046	0.034926064405820544	0.14324913240379525
1.617	11.06634	0.74703	0.79616	11.9684	1.78391	1.73875	0.03710666793058542	0.035062267682273905	0.14415403216874437
1.628	10.10505	0.66987	0.70983	11.01681	1.75111	1.71903	0.03425117780453052	0.03473011396720549	0.14339565463517887
1.639	9.26172	0.56116	0.5914	10.17309	1.69646	1.6505800000000002	0.031719379310268254	0.034176693219385705	0.14076325391648925
1.65	8.53284	0.43676	0.44259	9.43749	1.61776	1.53785	0.02951202263698882	0.033379726835974594	0.13642796490234926
1.661	7.9096	0.32663	0.29442	8.80512	1.53455	1.4074300000000002	0.027614434084131678	0.03253708931674158	0.13141236663015787
1.672	7.3753	0.21464	0.15345	8.25651	1.4099599999999999	1.2539500000000001	0.025968188917563122	0.031275411531364324	0.12550994351394923
1.683	6.9118	0.11888	0.03212	7.77594	1.28444	1.0945699999999998	0.02452611524100263	0.03000431597296836	0.11938062245412814
1.694	6.50357	0.02669	-0.06144	7.35039	1.1496300000000002	0.94283	0.023249143201423964	0.028639143950761857	0.11354511500264584
1.705	6.13724	-0.04882	-0.11668	6.96255	1.02907	0.82091	0.022085329699296868	0.027418276515132334	0.10885640359837064
1.716	5.80395	-0.07483	-0.14544	6.60404	0.87197	0.65642	0.02100952839296542	0.025827381739606477	0.10253056584501408
1.727	5.49533	-0.08324	-0.16391	6.16073	0.60798	0.4121	0.019679262913314104	0.023154050665188445	0.09313468354274602
1.738	5.20197	-0.08917	-0.1639	5.74524	0.4998	0.30223	0.01843247848674957	0.022058551003721946	0.0889093823453402
1.749	4.925	-0.06596	-0.1328	5.48042	0.55697	0.32711	0.01763781808134193	0.02263749087843113	0.08986619943637013
1.76	4.6644	-0.03504	-0.08001	5.263199999999999	0.5804100000000001	0.33973	0.016985993697750633	0.022874859265053196	0.09035153029202918
1.771	4.4177	-0.00977	-0.03015	5.03932	0.56864	0.3377	0.016314184274132094	0.02275566873985944	0.09027346201651508
