time	signal1	signal2	signal3	subtr1	subtr2	subtr3
22.715	2.50406	0.05461	-0.0453	1.2357799999999999	0.47726999999999997	0.30446
22.726	2.76297	0.13228	-0.03267	1.4946100000000002	0.54921	0.31849000000000005
22.737	3.0754	0.1999	-0.00994	1.8061500000000001	0.62676	0.3412
22.748	3.43634	0.27319	0.00693	2.16559	0.69524	0.35453
22.759	3.83793	0.35646	0.01384	2.56452	0.75865	0.35698
22.77	4.25934	0.44378	0.03087	2.98298	0.8364400000000001	0.37383
22.781	4.66687	0.52252	0.05913	3.3872	0.92884	0.40845000000000004
22.792	5.03157	0.59503	0.08755	3.7474800000000004	1.0083799999999998	0.43833
22.803	5.3212	0.64966	0.0893	4.03493	1.06988	0.4288
22.814	5.50564	0.67236	0.0951	4.21934	1.1037	0.43049000000000004
22.825	5.56549	0.67379	0.09451	4.27828	1.10229	0.43412
22.836	5.49422	0.6463	0.08332	4.20385	1.07527	0.42267
22.847	5.31251	0.61975	0.07941	4.01975	1.0555	0.41951
22.858	5.04051	0.56429	0.06029	3.74458	0.99918	0.4046
22.869	4.71369	0.47906	0.04789	3.4165599999999996	0.90772	0.39003
22.88	4.36011	0.40262	0.0439	3.06119	0.83674	0.38143
22.891	4.0133	0.32988	0.02853	2.7119400000000002	0.76935	0.3749
22.902	3.68674	0.25289	0.00844	2.38305	0.68938	0.3488
22.913	3.39589	0.19595	-0.01049	2.0922	0.6369100000000001	0.32314
22.924	3.1471	0.14245	-0.01927	1.84424	0.59544	0.32466
22.935	2.94058	0.09124	-0.02803	1.6354400000000002	0.5484	0.31309
22.946	2.76808	0.06474	-0.03529	1.4588199999999998	0.51029	0.29614
22.957	2.62446	0.05336	-0.04213	1.31608	0.50328	0.28733
22.968	2.51053	0.02684	-0.03989	1.2020400000000002	0.47158	0.29615
22.979	2.41563	0.00632	-0.05036	1.1064000000000003	0.42278	0.29007
22.99	2.33552	-0.00951	-0.05123	1.0240299999999998	0.39659	0.2911
23.001	2.26767	-0.01107	-0.05316	0.9555899999999999	0.39732999999999996	0.27726
23.012	2.20857	-0.02506	-0.05267	0.8990499999999999	0.39095	0.28948
23.023	2.15893	-0.03853	-0.0485	0.8497199999999998	0.38515	0.29053
23.034	2.11585	-0.05691	-0.05619	0.8081	0.37068	0.28417
23.045	2.07754	-0.07516	-0.05805	0.76396	0.36208	0.28831
23.056	2.04546	-0.07696	-0.04731	0.7319099999999998	0.35741	0.31103
23.067	2.01925	-0.10091	-0.04644	0.7082599999999999	0.32424	0.31241
23.078	1.9943	-0.09778	-0.06265	0.6842699999999999	0.33963	0.29301
23.089	1.9771	-0.08076	-0.06682	0.66784	0.35882000000000003	0.28442
23.1	1.96516	-0.0815	-0.07159	0.6551899999999999	0.35181999999999997	0.27731
23.111	1.95075	-0.10229	-0.0784	0.64174	0.32795	0.26253000000000004
23.122	1.94486	-0.11123	-0.08256	0.63863	0.33074	0.24981
23.133	1.94162	-0.10055	-0.07519	0.6399899999999998	0.33311	0.2631
