time	signal1	signal2	signal3	subtracted1	subtracted2	subtracted3	nornmalized1	nornmalized2	nornmalized3
1.210	0.03237	0.04437	0.07088	0.24476	0.42155	0.17647	0.00154	0.02127	0.08467
1.221	0.03223	0.05008	0.06668	0.24369	0.43175	0.17388	0.00154	0.02137	0.08458
1.232	0.03083	0.05306	0.06566	0.24118	0.43716	0.17721	0.00153	0.02142	0.08470
1.243	0.03135	0.05877	0.05832	0.24373	0.42238	0.17949	0.00154	0.02127	0.08478
1.254	0.03211	0.06358	0.04944	0.24410	0.42194	0.16788	0.00154	0.02127	0.08435
1.265	0.03946	0.05375	0.04427	0.24823	0.40914	0.15107	0.00155	0.02114	0.08373
1.276	0.07002	0.03884	0.04683	0.27630	0.38817	0.13872	0.00161	0.02093	0.08328
1.287	0.20325	0.02827	0.04491	0.40486	0.34339	0.08962	0.00192	0.02047	0.08146
1.298	0.67950	0.00375	0.02347	0.87065	0.23171	-0.03985	0.00301	0.01934	0.07669
1.309	2.06693	-0.06474	-0.07866	2.24164	0.01596	-0.30006	0.00624	0.01716	0.06708
1.320	5.14195	-0.21930	-0.29152	5.29276	-0.30683	-0.71365	0.01341	0.01389	0.05181
1.331	10.14044	-0.44596	-0.56894	10.24934	-0.71402	-1.22035	0.02507	0.00977	0.03311
1.342	16.41347	-0.65771	-0.80914	16.41696	-1.13358	-1.68580	0.03958	0.00552	0.01593
1.353	22.72508	-0.78179	-0.90330	22.50000	-1.46307	-1.98108	0.05389	0.00218	0.00503
1.364	27.99424	-0.79387	-0.86330	27.41644	-1.65160	-2.11731	0.06545	0.00027	0.00000
1.375	31.66131	-0.66153	-0.70491	30.68699	-1.67847	-2.09993	0.07314	0.00000	0.00064
1.386	33.70742	-0.49522	-0.50606	32.37929	-1.62603	-2.00803	0.07712	0.00053	0.00403
1.397	34.43090	-0.33956	-0.31874	32.84154	-1.54421	-1.87536	0.07821	0.00136	0.00893
1.408	34.24768	-0.18156	-0.15717	32.50904	-1.38478	-1.71626	0.07743	0.00297	0.01480
1.419	33.51966	-0.05007	-0.02076	31.75944	-1.22832	-1.53167	0.07566	0.00456	0.02162
1.430	32.50302	0.05792	0.08499	30.85646	-1.04777	-1.33071	0.07354	0.00639	0.02904
1.441	31.35614	0.15019	0.16209	29.93232	-0.84414	-1.13139	0.07137	0.00845	0.03639
1.452	30.16546	0.22343	0.22475	29.02983	-0.63698	-0.92309	0.06924	0.01055	0.04408
1.463	28.97563	0.25630	0.28324	28.15024	-0.44648	-0.70792	0.06717	0.01248	0.05203
1.474	27.80523	0.29877	0.34130	27.28098	-0.24208	-0.48159	0.06513	0.01455	0.06038
1.485	26.65605	0.33705	0.40756	26.41076	-0.03885	-0.24696	0.06308	0.01660	0.06904
1.496	25.51692	0.40556	0.48250	25.51648	0.18550	0.00144	0.06098	0.01888	0.07821
1.507	24.36561	0.46445	0.54945	24.57200	0.39719	0.22396	0.05876	0.02102	0.08642
1.518	23.18778	0.51992	0.62091	23.56155	0.59313	0.45251	0.05638	0.02300	0.09486
1.529	21.97960	0.58630	0.69313	22.48699	0.78534	0.68244	0.05385	0.02495	0.10335
1.540	20.74172	0.65048	0.76327	21.35501	0.95744	0.88523	0.05119	0.02669	0.11083
1.551	19.47121	0.73712	0.81416	20.16721	1.15258	1.06644	0.04840	0.02867	0.11752
1.562	18.17414	0.78354	0.86588	18.93285	1.32057	1.24592	0.04549	0.03037	0.12415
1.573	16.86557	0.80383	0.91860	17.67272	1.47170	1.43083	0.04253	0.03190	0.13097
1.584	15.56707	0.83251	0.92580	16.41170	1.60974	1.55075	0.03956	0.03330	0.13540
1.595	14.30454	0.83553	0.92492	15.17477	1.70475	1.66906	0.03666	0.03426	0.13977
1.606	13.10307	0.80562	0.90184	13.99177	1.77046	1.75674	0.03387	0.03493	0.14300
1.617	11.98652	0.74703	0.84788	12.88858	1.78391	1.79047	0.03128	0.03506	0.14425
1.628	10.97337	0.66987	0.76685	11.88513	1.75111	1.77605	0.02892	0.03473	0.14372
1.639	10.07432	0.56116	0.65065	10.98569	1.69646	1.70983	0.02680	0.03418	0.14127
